GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
risk-assessment-backend,com.riskassessment,RiskAssessmentApplication,5,3,0,0,2,1,1,1,1,1
risk-assessment-backend,com.riskassessment.entity,Risk.RiskType,0,49,0,0,0,10,0,3,0,3
risk-assessment-backend,com.riskassessment.entity,Risk.RiskStatus,0,35,0,0,0,8,0,3,0,3
risk-assessment-backend,com.riskassessment.entity,Risk.RiskImpact,0,35,0,0,0,8,0,3,0,3
risk-assessment-backend,com.riskassessment.entity,Risk,0,83,0,0,0,34,0,18,0,18
risk-assessment-backend,com.riskassessment.entity,Risk.RiskProbability,0,35,0,0,0,8,0,3,0,3
risk-assessment-backend,com.riskassessment.controller,RiskController,24,75,0,2,6,18,3,9,3,8
risk-assessment-backend,com.riskassessment.controller,RiskController.EnumValues,0,15,0,0,0,5,0,1,0,1
risk-assessment-backend,com.riskassessment.dto,RiskDTO,0,132,0,0,0,45,0,19,0,19
risk-assessment-backend,com.riskassessment.service,RiskService,11,128,0,2,4,37,1,11,1,10
